"filename", "language", "C#", "XML", "comment", "blank", "total"
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Common/DomainExceptions.cs", "C#", 8, 0, 0, 0, 8
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Common/IAggregateRoot.cs", "C#", 2, 0, 0, 0, 2
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Common/IEntity.cs", "C#", 2, 0, 0, 0, 2
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Common/Result.cs", "C#", 39, 0, 1, 14, 54
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Common/ValueObject.cs", "C#", 33, 0, 0, 12, 45
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Domain.csproj", "XML", 0, 7, 0, 3, 10
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Entities/Order.cs", "C#", 1, 0, 0, 1, 2
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Errors/ValueObjectErrors/EmailErrors.cs", "C#", 34, 0, 0, 7, 41
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Errors/ValueObjectErrors/MoneyErros.cs", "C#", 13, 0, 0, 3, 16
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Errors/ValueObjectErrors/PhoneNumberErrors.cs", "C#", 28, 0, 0, 4, 32
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Errors/ValueObjectErrors/WeightErrors.cs", "C#", 32, 0, 0, 5, 37
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Exceptions/DomainException.cs", "C#", 8, 0, 0, 0, 8
"/Users/althaf/Desktop/LaundrySolution/src/Domain/Exceptions/InvalidValueObjectState.cs", "C#", 7, 0, 0, 1, 8
"/Users/althaf/Desktop/LaundrySolution/src/Domain/ValueObjects/Email.cs", "C#", 56, 0, 2, 19, 77
"/Users/althaf/Desktop/LaundrySolution/src/Domain/ValueObjects/Money.cs", "C#", 55, 0, 14, 19, 88
"/Users/althaf/Desktop/LaundrySolution/src/Domain/ValueObjects/PhoneNumber.cs", "C#", 97, 0, 14, 25, 136
"/Users/althaf/Desktop/LaundrySolution/src/Domain/ValueObjects/Weight.cs", "C#", 42, 0, 7, 16, 65
"Total", "-", 457, 7, 38, 129, 631
